1,1,219
1,7,21
1,10,360
1,14,429
1,24,452
1,26,310
1,30,284
1,34,92
1,35,480
1,43,202
1,44,489
1,49,57
1,50,359
1,51,458
1,57,216
1,64,124
1,66,348
1,67,413
1,69,253
1,77,105
1,86,63
1,88,130
1,96,375
1,97,202
1,99,27
1,100,164
1,100,316
2,3,375
2,8,426
2,11,457
2,20,151
2,25,60
2,32,414
2,34,340
2,35,95
2,37,348
2,41,357
2,45,3
2,52,281
2,55,286
2,57,12
2,58,211
2,68,232
2,70,234
2,71,192
2,86,50
2,88,119
2,92,424
2,93,332
3,5,302
3,11,390
3,15,406
3,31,467
3,33,185
3,34,53
3,40,196
3,47,232
3,51,3
3,53,89
3,55,46
3,67,140
3,68,276
3,69,84
3,82,199
3,85,164
3,87,257
3,89,99
3,90,26
3,91,24
3,92,382
3,98,109
4,9,471
4,12,77
4,13,169
4,16,182
4,25,485
4,27,381
4,30,137
4,35,317
4,36,221
4,37,386
4,43,170
4,43,232
4,44,173
4,54,62
4,60,330
4,61,35
4,62,315
4,64,143
4,65,263
4,75,279
4,79,19
4,81,296
4,89,75
4,90,189
4,92,43
4,92,456
4,94,24
4,94,284
4,96,257
4,96,380
5,8,219
5,11,5
5,15,139
5,15,255
5,15,272
5,15,428
5,27,345
5,27,468
5,29,100
5,33,390
5,36,229
5,42,440
5,43,11
5,45,55
5,56,6
5,60,152
5,62,386
5,62,475
5,63,234
5,63,399
5,65,281
5,68,57
5,68,64
5,68,146
5,71,172
5,73,26
5,81,5
5,91,79
5,92,186
5,95,324
6,8,126
6,13,388
6,14,409
6,17,279
6,17,379
6,25,207
6,26,311
6,27,362
6,30,151
6,30,201
6,30,280
6,32,313
6,33,397
6,36,441
6,39,49
6,40,150
6,40,426
6,41,230
6,44,294
6,50,95
6,50,347
6,51,30
6,57,411
6,61,189
6,64,354
6,64,405
6,67,454
6,69,388
6,77,345
6,83,294
6,93,392
6,96,140
7,2,375
7,3,120
7,3,322
7,5,310
7,13,81
7,17,475
7,18,217
7,31,484
7,46,123
7,50,401
7,53,63
7,57,242
7,62,405
7,69,201
7,69,384
7,73,25
7,83,232
7,86,66
7,92,267
7,92,411
7,98,422
7,98,454
8,5,20
8,5,24
8,6,344
8,14,163
8,15,26
8,38,421
8,40,147
8,42,135
8,43,273
8,45,89
8,57,291
8,58,74
8,72,220
8,73,347
8,78,68
8,88,53
8,94,111
8,99,20
8,99,138
9,2,368
9,4,345
9,10,109
9,11,8
9,17,45
9,23,322
9,33,110
9,42,144
9,46,152
9,54,16
9,62,135
9,69,166
9,75,62
9,76,431
9,77,45
9,80,378
9,85,179
9,85,450
9,86,230
9,87,493
9,89,242
9,90,130
9,96,78
9,98,419
10,3,429
10,6,447
10,16,155
10,18,53
10,20,387
10,26,131
10,26,460
10,27,159
10,45,478
10,47,477
10,52,315
10,56,378
10,62,92
10,62,121
10,65,185
10,71,402
10,72,311
10,74,80
10,83,220
10,88,458
10,90,443
10,91,337
10,93,283
10,96,145
10,98,322
11,6,392
11,10,16
11,17,17
11,20,190
11,21,467
11,24,194
11,36,165
11,43,483
11,50,14
11,55,499
11,58,375
11,59,473
11,61,104
11,62,334
11,68,119
11,68,240
11,69,196
11,69,297
11,70,404
11,71,252
11,73,255
11,73,319
11,78,152
11,80,243
11,87,316
11,87,317
11,88,392
11,93,252
11,98,117
12,1,247
12,2,319
12,4,409
12,6,261
12,8,25
12,15,342
12,17,364
12,22,125
12,23,120
12,26,233
12,31,369
12,35,5
12,37,343
12,41,382
12,42,400
12,45,116
12,46,458
12,47,291
12,48,297
12,49,431
12,51,467
12,59,2
12,62,442
12,73,356
12,74,102
12,74,144
12,75,199
12,76,64
12,87,42
12,90,113
12,91,341
